Campo_Tec;Area_Tec;Ano;Depósitos
Produtos farmacêuticos;Química;2009;127
Tecnologia da computação;Engenharia elétrica;2009;105
Química orgânica fina;Química;2009;91
Máquinas têxteis e de papel;Engenharia mecânica;2009;88
Telecomunicações;Engenharia elétrica;2009;66
Tecnologia de superfícies e revestimentos;Química;2009;65
Química macromolecular e polímeros;Química;2009;58
Biotecnologia;Química;2009;53
Métodos de gestão em TI;Engenharia elétrica;2009;46
Comunicação digital;Engenharia elétrica;2009;44
Ótica;Instrumentos;2009;37
Semicondutores;Engenharia elétrica;2009;19
Análise de material biológico;Instrumentos;2009;18
Processos básicos de comunicação;Engenharia elétrica;2009;9
Microestruturas e nanotecnologia;Química;2009;8
Outras maquinas especiais;Engenharia mecânica;2010;577
Engenharia civil;Outras áreas;2010;575
Mobiliário - jogos;Outras áreas;2010;556
Transporte;Engenharia mecânica;2010;446
Outros bens de consumo;Outras áreas;2010;431
Manejo;Engenharia mecânica;2010;416
Tecnologia aplicada a medicina;Instrumentos;2010;351
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2010;279
Elementos mecânicos;Engenharia mecânica;2010;235
Engenharia química;Química;2010;223
Máquinas ferramentas;Engenharia mecânica;2010;181
Química de alimentos;Química;2010;174
Aparelhos e processos térmicos;Engenharia mecânica;2010;166
Medição;Instrumentos;2010;160
Controle;Instrumentos;2010;152
Produtos farmacêuticos;Química;2010;149
